Timestamp,From Bank,Account,To Bank,Account.1,Payment Currency,Payment Format,Amount Received,Amount Paid
2022/09/02 10:00,BANK_A,ACC_A,BANK_B,ACC_B1,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_A,ACC_A,BANK_B,ACC_B2,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_A,ACC_A,BANK_B,ACC_B3,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_A,ACC_A,BANK_B,ACC_B4,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_A,ACC_A,BANK_B,ACC_B5,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_A,ACC_A,BANK_B,ACC_B6,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B1,BANK_C,ACC_C,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B1,DUMMY_0,DUMMY_ACC_0,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B1,DUMMY_0,DUMMY_ACC_1,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B1,DUMMY_0,DUMMY_ACC_2,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B1,DUMMY_0,DUMMY_ACC_3,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B1,DUMMY_0,DUMMY_ACC_4,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B2,BANK_C,ACC_C,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B2,DUMMY_1,DUMMY_ACC_0,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B2,DUMMY_1,DUMMY_ACC_1,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B2,DUMMY_1,DUMMY_ACC_2,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B2,DUMMY_1,DUMMY_ACC_3,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B2,DUMMY_1,DUMMY_ACC_4,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B3,BANK_C,ACC_C,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B3,DUMMY_2,DUMMY_ACC_0,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B3,DUMMY_2,DUMMY_ACC_1,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B3,DUMMY_2,DUMMY_ACC_2,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B3,DUMMY_2,DUMMY_ACC_3,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B3,DUMMY_2,DUMMY_ACC_4,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B4,BANK_C,ACC_C,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B4,DUMMY_3,DUMMY_ACC_0,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B4,DUMMY_3,DUMMY_ACC_1,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B4,DUMMY_3,DUMMY_ACC_2,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B4,DUMMY_3,DUMMY_ACC_3,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B4,DUMMY_3,DUMMY_ACC_4,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B5,BANK_C,ACC_C,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B5,DUMMY_4,DUMMY_ACC_0,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B5,DUMMY_4,DUMMY_ACC_1,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B5,DUMMY_4,DUMMY_ACC_2,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B5,DUMMY_4,DUMMY_ACC_3,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B5,DUMMY_4,DUMMY_ACC_4,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B6,BANK_C,ACC_C,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B6,DUMMY_5,DUMMY_ACC_0,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B6,DUMMY_5,DUMMY_ACC_1,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B6,DUMMY_5,DUMMY_ACC_2,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B6,DUMMY_5,DUMMY_ACC_3,US Dollar,Wire,100.0,100.0
2022/09/02 10:00,BANK_B,ACC_B6,DUMMY_5,DUMMY_ACC_4,US Dollar,Wire,100.0,100.0
